LON,LAT,Zona Sismica
10.6069,46.7236,1
10.6361,46.7242,1
10.6654,46.7249,1
10.6946,46.7256,1
10.7238,46.7262,1
10.753,46.7269,1
10.7822,46.7275,1
10.8114,46.7282,0
10.8407,46.7288,0
10.8699,46.7294,0
10.8992,46.73,0
10.9284,46.7307,0
10.9576,46.7313,0
10.9868,46.7319,0
11.016,46.7324,0
11.0452,46.733,0
11.0745,46.7336,0
11.1037,46.7342,0
11.1329,46.7347,0
11.1622,46.7353,0
11.1914,46.7358,0
11.2206,46.7364,0
11.2498,46.7369,0
11.2791,46.7374,0
11.3083,46.738,0
11.3375,46.7385,0
11.3668,46.739,0
11.396,46.7395,0
11.4252,46.74,0
11.4545,46.7405,0
11.4837,46.7409,0
11.5129,46.7414,0
11.5421,46.7419,0
11.5714,46.7423,0
11.6006,46.7428,0
11.6299,46.7432,0
11.6591,46.7437,0
11.6883,46.7441,0
11.7176,46.7445,0
11.7468,46.7449,0
11.7761,46.7454,0
11.8052,46.7458,0
11.8345,46.7462,0
11.8638,46.7465,0
11.893,46.7469,0
11.9223,46.7473,0
11.9515,46.7477,0
11.9808,46.748,1
12.01,46.7484,1
12.0392,46.7487,1
12.0685,46.7491,1
12.0977,46.7494,1
12.127,46.7497,1
12.1562,46.7501,1
12.1854,46.7504,1
12.2147,46.7507,1
12.2439,46.751,1
12.2732,46.7513,1
12.3024,46.7516,1
12.3317,46.7518,1
12.3609,46.7521,1
10.4035,46.6985,2
10.4327,46.6992,2
10.4619,46.7,2
10.4911,46.7007,2
10.5203,46.7014,2
10.5495,46.7021,1
10.5788,46.7028,1
10.6079,46.7035,1
10.6371,46.7041,1
10.6664,46.7048,1
10.6955,46.7055,1
10.7247,46.7061,1
10.754,46.7068,1
10.7832,46.7074,1
10.8124,46.7081,1
10.8416,46.7087,0
10.8708,46.7093,0
10.9001,46.7099,0
10.9292,46.7106,0
10.9584,46.7112,0
10.9877,46.7118,0
11.0169,46.7123,0
11.0461,46.7129,0
11.0753,46.7135,0
11.1046,46.7141,0
11.1338,46.7146,0
11.163,46.7152,0
11.1922,46.7157,0
11.2214,46.7163,0
11.2507,46.7168,0
11.2798,46.7174,0
11.3091,46.7179,0
11.3382,46.7184,0
11.3675,46.7189,0
11.3967,46.7194,0
11.4259,46.7199,0
11.4552,46.7204,0
11.4844,46.7208,0
11.5136,46.7213,0
11.5428,46.7218,0
11.5721,46.7222,0
11.6013,46.7227,0
11.6305,46.7231,0
11.6598,46.7236,0
11.689,46.724,0
11.7182,46.7244,0
11.7474,46.7249,0
11.7767,46.7253,0
11.8059,46.7257,0
11.8351,46.7261,0
11.8644,46.7265,0
11.8936,46.7268,0
11.9228,46.7272,0
11.952,46.7276,1
11.9812,46.7279,1
12.0105,46.7283,1
12.0397,46.7286,1
12.069,46.729,1
12.0982,46.7293,1
12.1274,46.7296,1
12.1567,46.73,1
12.1859,46.7303,1
12.2151,46.7306,1
12.2444,46.7309,1
12.2736,46.7312,1
12.3028,46.7315,1
12.3321,46.7317,1
12.3613,46.732,1
10.4046,46.6784,2
10.4338,46.6792,2
10.463,46.6799,2
10.4922,46.6806,2
10.5214,46.6813,2
10.5506,46.682,1
10.5798,46.6827,1
10.609,46.6834,1
10.6381,46.6841,1
10.6674,46.6847,1
10.6966,46.6854,1
10.7257,46.6861,1
10.7549,46.6867,1
10.7842,46.6873,1
10.8134,46.688,1
10.8425,46.6886,0
10.8718,46.6892,0
10.901,46.6899,0
10.9302,46.6905,0
10.9594,46.6911,0
10.9886,46.6917,0
11.0178,46.6923,0
11.047,46.6928,0
11.0762,46.6934,0
11.1054,46.694,0
11.1346,46.6945,0
11.1638,46.6951,0
11.193,46.6956,0
11.2222,46.6962,0
11.2514,46.6967,0
11.2806,46.6973,0
11.3098,46.6978,0
11.3391,46.6983,0
11.3683,46.6988,0
11.3974,46.6993,0
11.4267,46.6998,0
11.4559,46.7003,0
11.4851,46.7008,0
11.5143,46.7012,0
11.5435,46.7017,0
11.5727,46.7021,0
11.602,46.7026,0
11.6312,46.703,0
11.6604,46.7035,0
11.6896,46.7039,0
11.7188,46.7043,0
11.7481,46.7048,0
11.7773,46.7052,0
11.8065,46.7056,0
11.8357,46.706,0
11.8649,46.7064,0
11.8942,46.7067,1
11.9234,46.7071,1
11.9526,46.7075,1
11.9818,46.7078,1
12.0111,46.7082,1
12.0403,46.7085,1
12.0695,46.7089,1
12.0987,46.7092,1
12.1279,46.7095,1
12.1572,46.7099,1
12.1864,46.7102,1
12.2156,46.7105,1
12.2448,46.7108,1
12.274,46.7111,1
12.3032,46.7114,1
12.3325,46.7116,1
12.3617,46.7119,1
12.3909,46.7122,1
10.4056,46.6583,2
10.4348,46.6591,2
10.464,46.6598,2
10.4932,46.6605,2
10.5224,46.6612,2
10.5516,46.6619,1
10.5808,46.6626,1
10.61,46.6633,1
10.6391,46.664,1
10.6683,46.6646,1
10.6975,46.6653,1
10.7267,46.666,1
10.7559,46.6666,1
10.7851,46.6673,1
10.8143,46.6679,1
10.8434,46.6685,0
10.8727,46.6691,0
10.9018,46.6698,0
10.931,46.6704,0
10.9603,46.671,0
10.9894,46.6716,0
11.0186,46.6722,0
11.0478,46.6727,0
11.077,46.6733,0
11.1062,46.6739,0
11.1354,46.6745,0
11.1646,46.675,0
11.1938,46.6756,0
11.223,46.6761,0
11.2522,46.6766,0
11.2814,46.6772,0
11.3106,46.6777,0
11.3398,46.6782,0
11.369,46.6787,0
11.3982,46.6792,0
11.4274,46.6797,0
11.4566,46.6802,0
11.4858,46.6807,0
11.515,46.6811,0
11.5442,46.6816,0
11.5734,46.6821,0
11.6026,46.6825,0
